# Weather station Los Angeles (airport), USA, WMO_ID=72295,selection from 29.11.2018 till 30.11.2019, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=72295&lang=en
#
"Local time in Los Angeles (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"11.06.2019 22:00";"19.4";"757.0";"761.1";"";"81";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"17.2";"22.8";"";"";"300-600";"";"";"16.0";"16.1";"";"";"";"";"";"";
"11.06.2019 16:00";"22.2";"756.6";"760.5";"";"71";"Wind blowing from the west";"6";"";"";"70 – 80%.";" ";"";"";"17.2";"24.4";"";"";"300-600";"";"";"16.0";"16.7";"";"";"";"";"";"";
"11.06.2019 10:00";"21.1";"757.8";"761.9";"";"76";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"17.2";"24.4";"";"";"100-200";"";"";"14.0";"16.7";"";"";"";"";"";"";
"11.06.2019 04:00";"17.8";"757.6";"761.6";"";"87";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"17.2";"26.7";"";"";"200-300";"";"";"16.0";"15.6";"";"";"";"";"";"";
"10.06.2019 22:00";"18.9";"757.0";"760.9";"";"81";"Wind blowing from the east-southeast";"2";"";"";"20–30%.";" ";"";"";"17.2";"23.9";"";"";"2500 or more, or no clouds.";"";"";"16.0";"15.6";"";"";"";"";"";"";
"10.06.2019 16:00";"21.7";"756.1";"760.2";"";"68";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"17.2";"26.7";"";"";"100-200";"";"";"16.0";"15.6";"";"";"";"";"";"";
"10.06.2019 10:00";"23.3";"757.8";"761.8";"";"62";"Wind blowing from the north-northwest";"2";"";"";"70 – 80%.";" ";"";"";"16.7";"23.3";"";"";"300-600";"";"";"12.0";"15.6";"";"";"";"";"";"";
"10.06.2019 04:00";"17.2";"756.6";"760.6";"";"84";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"17.2";"22.2";"";"";"50-100";"";"";"14.0";"14.4";"";"";"";"";"";"";
"09.06.2019 22:00";"17.2";"757.3";"761.3";"";"87";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"";"";"";"";"200-300";"";"";"16.0";"15.0";"";"";"";"";"";"";
"09.06.2019 16:00";"20.6";"755.8";"759.7";"";"70";"Wind blowing from the west";"7";"";"";"20–30%.";" ";"";"";"";"22.2";"";"";"300-600";"";"";"16.0";"15.0";"";"";"";"";"";"";
"09.06.2019 10:00";"20.0";"757.6";"761.5";"";"73";"Wind blowing from the west";"4";"";"";"20–30%.";"Haze. ";"";"";"";"";"";"";"300-600";"";"";"9.0";"15.0";"";"";"";"";"";"";
"09.06.2019 04:00";"17.2";"756.8";"760.7";"";"84";"Wind blowing from the south-southeast";"2";"";"";"100%.";"Haze. ";"";"";"";"22.2";"";"";"300-600";"";"";"9.0";"14.4";"";"";"";"";"";"";
"08.06.2019 22:00";"17.2";"756.6";"760.6";"";"84";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"16.7";"20.6";"";"";"";"";"";"14.0";"14.4";"";"";"";"";"";"";
"08.06.2019 16:00";"20.0";"755.5";"759.6";"";"68";"Wind blowing from the west-southwest";"6";"";"";"no clouds";" ";"";"";"16.7";"22.2";"";"";"";"";"";"16.0";"13.9";"";"";"";"";"";"";
"08.06.2019 10:00";"20.0";"755.8";"759.9";"";"73";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"16.7";"20.0";"";"";"300-600";"";"";"16.0";"15.0";"";"";"";"";"";"";
"08.06.2019 04:00";"16.7";"754.8";"758.7";"";"86";"Wind blowing from the south-southeast";"3";"";"";"100%.";" ";"";"";"16.1";"20.6";"";"";"300-600";"";"";"16.0";"14.4";"";"";"";"";"";"";
"07.06.2019 22:00";"16.7";"755.0";"759.1";"";"80";"";"2";"";"";"100%.";" ";"";"";"16.1";"19.4";"";"";"300-600";"";"";"16.0";"13.3";"";"";"";"";"";"";
"07.06.2019 16:00";"19.4";"754.8";"758.8";"";"71";"Wind blowing from the west";"7";"";"";"70 – 80%.";" ";"";"";"16.7";"20.6";"";"";"300-600";"";"";"16.0";"13.9";"";"";"";"";"";"";
"07.06.2019 10:00";"18.3";"755.8";"759.9";"";"78";"Wind blowing from the west-southwest";"4";"";"";"70 – 80%.";" ";"";"";"16.7";"18.3";"";"";"300-600";"";"";"11.0";"14.4";"Trace of precipitation";"6";"";"";"";"";
"07.06.2019 04:00";"16.7";"755.3";"759.4";"";"84";"Wind blowing from the south-southeast";"3";"";"";"100%.";" ";"";"";"15.6";"";"";"";"100-200";"";"";"16.0";"13.9";"";"";"";"";"";"";
"06.06.2019 22:00";"17.2";"756.3";"760.3";"";"84";"";"2";"";"";"100%.";" ";"";"";"15.6";"18.3";"";"";"100-200";"";"";"12.0";"14.4";"";"";"";"";"";"";
"06.06.2019 16:00";"17.8";"755.8";"760.0";"";"78";"Wind blowing from the west";"5";"";"";"100%.";" ";"";"";"15.6";"20.6";"";"";"300-600";"";"";"16.0";"13.9";"";"";"";"";"";"";
"06.06.2019 10:00";"19.4";"756.6";"760.5";"";"76";"Wind blowing from the west-southwest";"5";"";"";"70 – 80%.";" ";"";"";"";"19.4";"";"";"300-600";"";"";"11.0";"15.0";"Trace of precipitation";"6";"";"";"";"";
"06.06.2019 04:00";"15.6";"755.8";"759.7";"";"96";"Wind blowing from the west-southwest";"2";"";"";"";"Drizzle, not freezing, continuous, slight at time of observation. ";"";"";"";"21.1";"";"";"100-200";"";"";"3.2";"15.0";"Trace of precipitation";"6";"";"";"";"";
"05.06.2019 22:00";"17.2";"756.3";"760.4";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"100-200";"";"";"11.0";"14.4";"";"";"";"";"";"";
"05.06.2019 16:00";"17.8";"755.5";"759.7";"";"81";"Wind blowing from the west-southwest";"5";"";"";"100%.";" ";"";"";"15.6";"21.1";"";"";"200-300";"";"";"16.0";"14.4";"";"";"";"";"";"";
"05.06.2019 10:00";"18.3";"756.6";"760.6";"";"78";"Wind blowing from the west";"3";"";"";"100%.";"Haze. ";"";"";"15.6";"18.3";"";"";"200-300";"";"";"9.0";"14.4";"";"";"";"";"";"";
"05.06.2019 04:00";"15.6";"755.5";"759.5";"";"93";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"15.6";"20.6";"";"";"100-200";"";"";"6.0";"14.4";"";"";"";"";"";"";
"04.06.2019 22:00";"16.7";"756.3";"760.3";"";"84";"Wind blowing from the south-west";"3";"";"";"100%.";" ";"";"";"15.0";"18.3";"";"";"200-300";"";"";"12.0";"13.9";"";"";"";"";"";"";
"04.06.2019 16:00";"18.3";"755.0";"759.2";"";"73";"Wind blowing from the west";"5";"";"";"100%.";" ";"";"";"15.0";"20.6";"";"";"300-600";"";"";"16.0";"13.3";"";"";"";"";"";"";
"04.06.2019 10:00";"17.8";"756.6";"760.6";"";"75";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"16.1";"17.8";"";"";"300-600";"";"";"11.0";"13.3";"";"";"";"";"";"";
"04.06.2019 04:00";"16.1";"755.3";"759.4";"";"81";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"15.0";"20.6";"";"";"300-600";"";"";"11.0";"12.8";"";"";"";"";"";"";
"03.06.2019 22:00";"15.0";"756.1";"760.2";"";"83";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"15.0";"17.8";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"03.06.2019 16:00";"17.8";"755.3";"759.4";"";"73";"Wind blowing from the west";"7";"";"";"70 – 80%.";" ";"";"";"16.1";"";"";"";"300-600";"";"";"16.0";"12.8";"";"";"";"";"";"";
"03.06.2019 10:00";"17.8";"756.3";"760.4";"";"70";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"16.1";"17.8";"";"";"300-600";"";"";"12.0";"12.2";"";"";"";"";"";"";
"03.06.2019 04:00";"16.7";"754.8";"758.7";"";"75";"Wind blowing from the west";"2";"";"";"100%.";" ";"";"";"16.1";"19.4";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"02.06.2019 22:00";"16.1";"755.5";"759.4";"";"75";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"15.0";"18.3";"";"";"300-600";"";"";"16.0";"11.7";"";"";"";"";"";"";
"02.06.2019 16:00";"18.3";"755.3";"759.3";"";"68";"Wind blowing from the west";"6";"";"";"50%.";" ";"";"";"15.0";"19.4";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"02.06.2019 10:00";"17.2";"756.1";"760.0";"";"73";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"15.6";"17.2";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"02.06.2019 04:00";"15.6";"754.8";"758.7";"";"80";"Wind blowing from the west";"3";"";"";"100%.";" ";"";"";"15.0";"18.9";"";"";"600-1000";"";"";"16.0";"12.2";"";"";"";"";"";"";
"01.06.2019 22:00";"15.6";"755.3";"759.3";"";"80";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"15.6";"18.3";"";"";"600-1000";"";"";"16.0";"12.2";"";"";"";"";"";"";
"01.06.2019 16:00";"17.8";"754.0";"758.1";"";"70";"Wind blowing from the west-southwest";"5";"";"";"70 – 80%.";" ";"";"";"15.6";"18.9";"";"";"600-1000";"";"";"16.0";"12.2";"";"";"";"";"";"";
"01.06.2019 10:00";"16.7";"755.3";"759.4";"";"75";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"15.6";"16.7";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"01.06.2019 04:00";"16.1";"754.0";"758.1";"";"78";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"15.0";"19.4";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"31.05.2019 22:00";"15.6";"755.0";"759.1";"";"80";"Wind blowing from the north-northwest";"3";"";"";"100%.";" ";"";"";"15.0";"17.2";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"31.05.2019 16:00";"17.2";"754.3";"758.4";"";"76";"Wind blowing from the west-southwest";"6";"";"";"100%.";" ";"";"";"15.0";"19.4";"";"";"300-600";"";"";"16.0";"12.8";"";"";"";"";"";"";
"31.05.2019 10:00";"17.2";"755.8";"759.8";"";"76";"Wind blowing from the west-southwest";"4";"";"";"100%.";"Haze. ";"";"";"15.0";"17.2";"";"";"200-300";"";"";"9.0";"12.8";"";"";"";"";"";"";
"31.05.2019 04:00";"15.0";"755.0";"759.1";"";"83";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"";"";"14.4";"20.0";"";"";"50-100";"";"";"6.0";"12.2";"";"";"";"";"";"";
"30.05.2019 22:00";"15.0";"755.8";"759.8";"";"87";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"14.4";"17.8";"";"";"300-600";"";"";"11.0";"12.8";"";"";"";"";"";"";
"30.05.2019 16:00";"17.8";"754.6";"758.6";"";"73";"Wind blowing from the west";"6";"";"";"70 – 80%.";" ";"";"";"14.4";"20.0";"";"";"300-600";"";"";"16.0";"12.8";"";"";"";"";"";"";
"30.05.2019 10:00";"18.9";"755.8";"759.9";"";"70";"Wind blowing from the west";"4";"";"";"20–30%.";"Haze. ";"";"";"15.6";"19.4";"";"";"200-300";"";"";"8.0";"13.3";"";"";"";"";"";"";
"30.05.2019 04:00";"15.6";"754.6";"758.7";"";"84";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"";"";"14.4";"20.6";"";"";"200-300";"";"";"8.0";"12.8";"";"";"";"";"";"";
"29.05.2019 22:00";"15.6";"755.0";"759.1";"";"86";"Wind blowing from the west-southwest";"3";"";"";"20–30%.";" ";"";"";"13.3";"18.9";"";"";"300-600";"";"";"16.0";"13.3";"";"";"";"";"";"";
"29.05.2019 16:00";"18.9";"753.7";"757.9";"";"65";"Wind blowing from the west-southwest";"6";"";"";"50%.";" ";"";"";"13.3";"20.6";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"29.05.2019 10:00";"20.0";"754.8";"759.0";"";"63";"Wind blowing from the west";"4";"";"";"20–30%.";" ";"";"";"13.3";"20.0";"";"";"300-600";"";"";"16.0";"12.8";"";"";"";"";"";"";
"29.05.2019 04:00";"13.9";"754.3";"758.3";"";"81";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"13.3";"19.4";"";"";"300-600";"";"";"16.0";"10.6";"";"";"";"";"";"";
"28.05.2019 22:00";"15.6";"755.3";"759.3";"";"78";"Wind blowing from the west-southwest";"3";"";"";"20–30%.";" ";"";"";"11.7";"18.9";"";"";"300-600";"";"";"16.0";"11.7";"";"";"";"";"";"";
"28.05.2019 16:00";"18.3";"754.8";"758.9";"";"59";"Wind blowing from the west";"6";"";"";"20–30%.";" ";"";"";"11.7";"19.4";"";"";"300-600";"";"";"16.0";"10.0";"";"";"";"";"";"";
"28.05.2019 10:00";"17.8";"756.3";"760.3";"";"63";"Wind blowing from the west-southwest";"5";"";"";"50%.";" ";"";"";"12.2";"18.3";"";"";"300-600";"";"";"16.0";"10.6";"";"";"";"";"";"";
"28.05.2019 04:00";"12.2";"756.3";"760.3";"";"80";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"11.7";"18.9";"";"";"300-600";"";"";"16.0";"8.9";"";"";"";"";"";"";
"27.05.2019 22:00";"15.0";"757.6";"761.6";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"17.2";"";"";"";"";"";"16.0";"8.3";"";"";"";"";"";"";
"27.05.2019 16:00";"17.2";"757.8";"762.0";"";"54";"Wind blowing from the west-southwest";"6";"";"";"20–30%.";" ";"";"";"10.6";"18.9";"";"";"1500-2000";"";"";"16.0";"7.8";"";"";"";"";"";"";
"27.05.2019 10:00";"16.7";"758.6";"762.7";"";"54";"Wind blowing from the south";"3";"";"";"50%.";" ";"";"";"10.0";"17.8";"";"";"300-600";"";"";"16.0";"7.2";"";"";"";"";"";"";
"27.05.2019 04:00";"10.6";"756.8";"760.9";"";"77";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"10.6";"16.7";"";"";"300-600";"";"";"16.0";"6.7";"";"";"";"";"";"";
"26.05.2019 22:00";"13.3";"757.0";"761.2";"";"72";"Wind blowing from the west";"9";"";"";"70 – 80%.";" ";"";"";"13.3";"15.6";"";"";"300-600";"";"";"16.0";"8.3";"2.0";"6";"";"";"";"";
"26.05.2019 16:00";"15.6";"756.8";"760.9";"";"67";"Wind blowing from the west";"5";"";"";"100%.";" ";"";"";"14.4";"16.7";"";"";"1000-1500";"";"";"16.0";"9.4";"Trace of precipitation";"6";"";"";"";"";
"26.05.2019 10:00";"15.0";"756.3";"760.5";"";"69";"Wind blowing from the west-southwest";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"13.9";"15.6";"";"";"600-1000";"";"";"16.0";"9.4";"Trace of precipitation";"6";"";"";"";"";
"26.05.2019 04:00";"15.0";"754.3";"758.4";"";"78";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"14.4";"19.4";"";"";"300-600";"";"";"16.0";"11.1";"";"";"";"";"";"";
"25.05.2019 22:00";"15.0";"755.0";"759.0";"";"78";"Wind blowing from the west-southwest";"3";"";"";"70 – 80%.";" ";"";"";"13.3";"18.3";"";"";"300-600";"";"";"16.0";"11.1";"";"";"";"";"";"";
"25.05.2019 16:00";"18.3";"754.6";"758.7";"";"61";"Wind blowing from the west-southwest";"6";"";"";"50%.";" ";"";"";"13.3";"19.4";"";"";"1000-1500";"";"";"16.0";"10.6";"";"";"";"";"";"";
"25.05.2019 10:00";"17.8";"756.1";"760.1";"";"65";"Wind blowing from the west";"5";"";"";"100%.";" ";"";"";"13.9";"17.8";"";"";"600-1000";"";"";"16.0";"11.1";"";"";"";"";"";"";
"25.05.2019 04:00";"14.4";"754.8";"758.7";"";"84";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"13.3";"20.0";"";"";"300-600";"";"";"16.0";"11.7";"";"";"";"";"";"";
"24.05.2019 22:00";"15.0";"755.8";"759.7";"";"81";"Wind blowing from the west-southwest";"5";"";"";"20–30%.";" ";"";"";"12.8";"18.3";"";"";"300-600";"";"";"16.0";"11.7";"";"";"";"";"";"";
"24.05.2019 16:00";"18.3";"755.5";"759.6";"";"59";"Wind blowing from the west";"8";"";"";"50%.";" ";"";"";"12.8";"20.0";"";"";"1500-2000";"";"";"16.0";"10.0";"";"";"";"";"";"";
"24.05.2019 10:00";"18.3";"757.6";"761.6";"";"59";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"12.8";"18.9";"";"";"200-300";"";"";"16.0";"10.0";"";"";"";"";"";"";
"24.05.2019 04:00";"13.3";"757.3";"761.4";"";"77";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.8";"18.3";"";"";"300-600";"";"";"16.0";"9.4";"";"";"";"";"";"";
"23.05.2019 22:00";"15.0";"758.6";"762.6";"";"78";"Wind blowing from the north-northwest";"2";"";"";"50%.";" ";"";"";"12.8";"16.1";"";"";"300-600";"";"";"16.0";"11.1";"";"";"";"";"";"";
"23.05.2019 16:00";"16.1";"757.8";"762.1";"";"70";"Wind blowing from the west-southwest";"4";"";"";"100%.";" ";"";"";"12.8";"18.3";"";"";"1000-1500";"";"";"16.0";"10.6";"";"";"";"";"";"";
"23.05.2019 10:00";"16.1";"756.6";"760.6";"";"72";"Wind blowing from the west";"4";"";"";"70 – 80%.";" ";"";"";"13.9";"18.3";"";"";"600-1000";"";"";"16.0";"11.1";"";"";"";"";"";"";
"23.05.2019 04:00";"13.9";"754.0";"758.0";"";"72";"Wind blowing from the east";"3";"";"";"70 – 80%.";" ";"";"";"12.8";"19.4";"";"";"300-600";"";"";"16.0";"8.9";"";"";"";"";"";"";
"22.05.2019 22:00";"14.4";"753.3";"757.3";"";"70";"Wind blowing from the east-southeast";"3";"";"";"50%.";" ";"";"";"13.3";"17.8";"";"";"600-1000";"";"";"16.0";"8.9";"";"";"";"";"";"";
"22.05.2019 16:00";"17.8";"751.0";"755.1";"";"54";"Wind blowing from the west-southwest";"7";"";"";"50%.";" ";"";"";"13.3";"19.4";"";"";"600-1000";"";"";"16.0";"8.3";"2.0";"6";"";"";"";"";
"22.05.2019 10:00";"17.8";"750.7";"754.9";"";"50";"Wind blowing from the west";"7";"";"";"50%.";" ";"";"";"13.3";"17.8";"";"";"300-600";"";"";"16.0";"7.2";"";"";"";"";"";"";
"22.05.2019 04:00";"13.9";"750.5";"754.4";"";"72";"Wind blowing from the west";"7";"";"";"70 – 80%.";" ";"";"";"13.3";"18.9";"";"";"300-600";"";"";"16.0";"8.9";"";"";"";"";"";"";
"21.05.2019 22:00";"15.6";"752.0";"756.1";"";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"";"";"1000-1500";"";"";"16.0";"10.0";"";"";"";"";"";"";
"21.05.2019 16:00";"17.8";"752.5";"";"";"60";"Wind blowing from the west";"13";"15";"";"70 – 80%.";" ";"";"";"";"";"";"";"1500-2000";"";"";"16.0";"10.0";"";"";"";"";"";"";
"21.05.2019 10:00";"16.1";"755.8";"";"";"70";"Wind blowing from the west-southwest";"6";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"14.0";"10.6";"";"";"";"";"";"";
"21.05.2019 04:00";"14.4";"756.3";"760.2";"";"75";"Wind blowing from the west";"2";"";"";"70 – 80%.";" ";"";"";"13.3";"19.4";"";"";"600-1000";"";"";"16.0";"10.0";"";"";"";"";"";"";
"20.05.2019 22:00";"14.4";"757.0";"761.1";"";"78";"Wind blowing from the west";"5";"";"";"70 – 80%.";" ";"";"";"13.3";"18.9";"";"";"1500-2000";"";"";"16.0";"10.6";"";"";"";"";"";"";
"20.05.2019 16:00";"18.9";"755.8";"759.8";"";"54";"Wind blowing from the west";"10";"12";"";"20–30%.";" ";"";"";"13.3";"19.4";"";"";"1500-2000";"";"";"16.0";"9.4";"";"";"";"";"";"";
"20.05.2019 10:00";"17.2";"755.5";"759.7";"";"60";"Wind blowing from the west";"5";"";"";"50%.";" ";"";"";"12.8";"17.8";"";"";"300-600";"";"";"16.0";"9.4";"";"";"";"";"";"";
"20.05.2019 04:00";"13.3";"754.0";"758.1";"";"72";"";"2";"";"";"50%.";" ";"";"";"13.3";"17.8";"";"";"300-600";"";"";"16.0";"8.3";"";"";"";"";"";"";
"19.05.2019 22:00";"14.4";"755.0";"759.0";"";"75";"Wind blowing from the west";"8";"";"";"50%.";" ";"";"";"11.1";"17.2";"";"";"300-600";"";"";"16.0";"10.0";"0.3";"6";"";"";"";"";
"19.05.2019 16:00";"16.7";"754.6";"758.7";"";"67";"Wind blowing from the west-southwest";"9";"";"";"50%.";" ";"";"";"11.1";"17.8";"";"";"300-600";"";"";"16.0";"10.6";"Trace of precipitation";"6";"";"";"";"";
"19.05.2019 10:00";"13.9";"755.5";"759.6";"";"81";"Wind blowing from the east";"4";"";"";"100%.";" ";"";"";"11.1";"15.0";"";"";"300-600";"";"";"16.0";"10.6";"5.0";"6";"";"";"";"";
"19.05.2019 04:00";"11.1";"754.8";"758.7";"";"89";"Wind blowing from the east-southeast";"3";"";"";"100%.";" ";"";"";"11.1";"21.1";"";"";"600-1000";"";"";"16.0";"9.4";"2.0";"6";"";"";"";"";
"18.05.2019 22:00";"14.4";"756.3";"760.3";"";"75";"Wind blowing from the west";"7";"";"";"70 – 80%.";" ";"";"";"12.2";"17.8";"";"";"300-600";"";"";"16.0";"10.0";"Trace of precipitation";"6";"";"";"";"";
"18.05.2019 16:00";"17.8";"756.1";"760.3";"";"70";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"12.2";"21.1";"";"";"300-600";"";"";"16.0";"12.2";"";"";"";"";"";"";
"18.05.2019 10:00";"19.4";"757.3";"761.3";"";"53";"Wind blowing from the west";"4";"";"";"70 – 80%.";" ";"";"";"12.2";"20.0";"";"";"1000-1500";"";"";"16.0";"9.4";"";"";"";"";"";"";
"18.05.2019 04:00";"12.8";"756.3";"760.3";"";"83";"Wind blowing from the east";"2";"";"";"20–30%.";" ";"";"";"12.2";"20.0";"";"";"300-600";"";"";"16.0";"10.0";"";"";"";"";"";"";
"17.05.2019 22:00";"15.0";"757.0";"761.0";"";"78";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"12.8";"20.0";"";"";"";"";"";"16.0";"11.1";"";"";"";"";"";"";
"17.05.2019 16:00";"19.4";"757.0";"761.2";"";"49";"Wind blowing from the west";"11";"";"";"20–30%.";" ";"";"";"12.8";"20.0";"";"";"1500-2000";"";"";"16.0";"8.3";"";"";"";"";"";"";
"17.05.2019 10:00";"19.4";"758.3";"762.4";"";"51";"Wind blowing from the west-southwest";"6";"";"";"50%.";" ";"";"";"12.8";"20.0";"";"";"1000-1500";"";"";"16.0";"8.9";"";"";"";"";"";"";
"17.05.2019 04:00";"12.8";"757.0";"761.0";"";"77";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.8";"20.0";"";"";"300-600";"";"";"16.0";"8.9";"";"";"";"";"";"";
"16.05.2019 22:00";"15.6";"756.8";"760.8";"";"67";"Wind blowing from the west";"5";"";"";"20–30%.";" ";"";"";"";"";"";"";"300-600";"";"";"16.0";"9.4";"";"";"";"";"";"";
"16.05.2019 16:00";"18.3";"755.5";"759.6";"";"54";"Wind blowing from the west";"14";"16";"";"20–30%.";" ";"";"";"";"";"";"";"2000-2500";"";"";"16.0";"8.9";"";"";"";"";"";"";
"16.05.2019 10:00";"17.8";"754.8";"758.8";"";"73";"Wind blowing from the west-southwest";"9";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"300-600";"";"";"12.0";"12.8";"7.0";"6";"";"";"";"";
"16.05.2019 04:00";"15.6";"754.0";"758.2";"";"80";"Wind blowing from the east-southeast";"5";"";"";"100%.";"Rain, not freezing, continuous, slight at time of observation. ";"";"";"15.6";"19.4";"";"";"200-300";"";"";"8.0";"12.2";"Trace of precipitation";"6";"";"";"";"";
"15.05.2019 22:00";"16.7";"756.6";"760.6";"";"73";"Wind blowing from the west";"4";"";"";"100%.";" ";"";"";"15.6";"17.8";"";"";"300-600";"";"";"16.0";"11.7";"";"";"";"";"";"";
"15.05.2019 16:00";"17.8";"755.5";"759.7";"";"68";"Wind blowing from the west-southwest";"6";"";"";"100%.";" ";"";"";"15.6";"19.4";"";"";"600-1000";"";"";"16.0";"11.7";"";"";"";"";"";"";
"15.05.2019 10:00";"17.2";"757.3";"761.4";"";"76";"Wind blowing from the west-southwest";"4";"";"";"100%.";" ";"";"";"16.1";"17.2";"";"";"300-600";"";"";"11.0";"12.8";"";"";"";"";"";"";
"15.05.2019 04:00";"16.7";"756.1";"760.2";"";"80";"Wind blowing from the south-southeast";"2";"";"";"100%.";" ";"";"";"15.6";"20.0";"";"";"200-300";"";"";"12.0";"13.3";"";"";"";"";"";"";
"14.05.2019 22:00";"15.6";"756.8";"760.9";"";"86";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"15.6";"18.9";"";"";"300-600";"";"";"16.0";"13.3";"";"";"";"";"";"";
"14.05.2019 16:00";"18.3";"756.8";"760.9";"";"76";"Wind blowing from the west";"7";"";"";"50%.";" ";"";"";"16.7";"20.0";"";"";"300-600";"";"";"16.0";"13.9";"";"";"";"";"";"";
"14.05.2019 10:00";"17.8";"759.1";"763.1";"";"78";"Wind blowing from the west-southwest";"4";"";"";"100%.";" ";"";"";"16.7";"18.3";"";"";"300-600";"";"";"11.0";"13.9";"";"";"";"";"";"";
"14.05.2019 04:00";"16.7";"757.8";"761.8";"";"84";"Wind blowing from the west-northwest";"2";"";"";"100%.";" ";"";"";"16.1";"20.0";"";"";"300-600";"";"";"14.0";"13.9";"";"";"";"";"";"";
"13.05.2019 22:00";"17.2";"758.3";"762.4";"";"81";"Wind blowing from the west-southwest";"3";"";"";"100%.";" ";"";"";"16.1";"18.9";"";"";"300-600";"";"";"16.0";"13.9";"";"";"";"";"";"";
"13.05.2019 16:00";"18.9";"757.0";"761.2";"";"73";"Wind blowing from the west";"6";"";"";"20–30%.";" ";"";"";"16.7";"20.0";"";"";"600-1000";"";"";"16.0";"13.9";"";"";"";"";"";"";
"13.05.2019 10:00";"18.3";"758.3";"762.5";"";"73";"Wind blowing from the south-west";"2";"";"";"100%.";" ";"";"";"16.7";"18.9";"";"";"300-600";"";"";"12.0";"13.3";"";"";"";"";"";"";
"13.05.2019 04:00";"16.7";"757.3";"761.3";"";"80";"Wind blowing from the south";"3";"";"";"100%.";" ";"";"";"16.7";"22.8";"";"";"300-600";"";"";"16.0";"13.3";"";"";"";"";"";"";
"12.05.2019 22:00";"17.2";"757.6";"761.6";"";"81";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"15.6";"20.0";"";"";"300-600";"";"";"16.0";"13.9";"";"";"";"";"";"";
"12.05.2019 16:00";"20.0";"755.8";"759.8";"";"68";"Wind blowing from the west";"6";"";"";"20–30%.";" ";"";"";"15.6";"22.8";"";"";"300-600";"";"";"16.0";"13.9";"";"";"";"";"";"";
